timestamp,status,name,phone,email,error_message
2025-11-06 08:14:37,Failed,Anjing,8903804776,anjing1632@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:14:43,Failed,Deni Saputra,8450081631,denisaputra1639@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:14:58,Failed,Deni Saputra,8681852679,denisaputra1653@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:15:05,Failed,Joko Susilo,8205829846,jokosusilo1661@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:15:12,Failed,Fajar Ramadhan,8306101494,fajarramadhan1667@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:15:18,Failed,Irfan Maulana,8244049214,irfanmaulana1674@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:15:22,Failed,Hendra Kurniawan,8788376046,hendrakurniawan1680@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:15:28,Failed,Budi Santoso,8504215113,budisantoso1685@example.com,Timeout 20s menunggu halaman sukses
2025-11-06 08:19:54,Success,Deni Saputra,8281077527,denisaputra1963@example.com,
2025-11-06 08:20:25,Success,Anjing,8384096706,anjing1996@example.com,
2025-11-06 08:20:33,Success,Eko Wibowo,8709654004,ekowibowo2004@example.com,
2025-11-06 08:20:50,Success,Prabowo,8404016947,prabowo2021@example.com,
2025-11-06 08:20:56,Success,Nugroho,8954504117,nugroho2027@example.com,
2025-11-06 08:21:04,Success,Hai hai,8915152971,haihai2036@example.com,
2025-11-06 08:21:20,Success,Cahyo Nugroho,8380495952,cahyonugroho2052@example.com,
2025-11-06 08:21:27,Success,Andi Pratama,8760422447,andipratama2059@example.com,
2025-11-06 08:21:33,Success,Joko Susilo,8534751368,jokosusilo2063@example.com,
2025-11-06 08:21:35,Success,Anies,8667797414,anies2067@example.com,
2025-11-06 08:22:15,Failed,Joko,8161596603,joko2082@example.com,Timeout 30s menunggu halaman sukses
2025-11-06 08:22:18,Failed,Eko Wibowo,8802612378,ekowibowo2084@example.com,Timeout 30s menunggu halaman sukses
2025-11-06 08:22:23,Failed,Cahyo Nugroho,8191300878,cahyonugroho2089@example.com,Timeout 30s menunggu halaman sukses
2025-11-06 08:22:27,Failed,Fajar Ramadhan,8660200101,fajarramadhan2094@example.com,Timeout 30s menunggu halaman sukses
2025-11-06 08:22:31,Failed,Irfan Maulana,8600753895,irfanmaulana2098@example.com,Timeout 30s menunggu halaman sukses
